HostName,IPAddress,Models,Vendors
QETOUR-R02J-GH-EG,10.45.2.203,mx104,Juniper
TAMLAY-R01J-MNF-EG,10.45.2.202,mx104,Juniper
SHARM4-R01J-JS-EG,10.45.2.184,mx104,Juniper
BGARQD-R01J-ALX-EG,10.45.2.183,mx104,Juniper
SQASHR-R01J-MNF-EG,10.45.2.204,mx104,Juniper
FAYSAL-R02J-SUZ-EG,10.45.2.188,mx104,Juniper
BNIAMR-R02J-SHR-EG,10.45.2.190,mx104,Juniper
KINGY-R01J-ALX-EG,10.45.2.186,mx104,Juniper
SHARM2-R03J-JS-EG,10.45.2.217,mx104,Juniper
MAY-R01J-MNF-EG,10.45.2.218,mx104,Juniper
BABLOUK-R04J-C-EG,10.45.2.189,mx104,Juniper
MRSMTR2-R01J-MT-EG,10.45.2.187,mx104,Juniper
MNFLUT-S01C-AST-EG,10.45.2.205,ME360x_t,Cisco
HOSHESA-R01J-BH-EG,10.45.2.211,mx104,Juniper
MTSOHL-R01J-SHR-EG,10.45.2.210,mx104,Juniper
SFTKHMR-R01J-MN-EG,10.45.2.22,mx104,Juniper
BABEL-R01J-MNF-EG,10.45.2.219,mx104,Juniper
BENDRA-R01J-MNF-EG,10.45.2.221,mx104,Juniper
KARNSHO-R01J-GH-EG,10.45.2.222,mx104,Juniper
DEFRA-R01J-GH-EG,10.45.2.227,mx104,Juniper
SHBRNML-R01J-GH-EG,10.45.2.215,mx104,Juniper
MHLTMNF-R01J-GH-EG,10.45.2.228,mx104,Juniper
BELTAN-R01J-KB-EG,10.45.2.212,mx104,Juniper
FAYUM2-R02J-FYM-EG,10.45.2.213,mx104,Juniper
KFRSKR-R01J-MNF-EG,10.45.2.220,mx104,Juniper
SHBRBBL-R01J-GH-EG,10.45.2.229,mx104,Juniper
SFTTRAB-R01J-GH-EG,10.45.2.230,mx104,Juniper
SANEGAR-R01J-GH-EG,10.45.2.231,mx104,Juniper
SFTLBAN-R01J-GZ-EG,10.45.2.240,mx104,Juniper
SHZAYED-R01J-GZ-EG,10.45.2.25,mx104,Juniper
MOQATAM1-R02J-C-EG,10.45.2.26,mx104,Juniper
BELQAS-R02J-DK-EG,10.45.2.27,mx104,Juniper
SHGEST-R01J-SHG-EG,10.45.2.241,mx104,Juniper
QUESNA-R02J-MNF-EG,10.45.2.23,mx104,Juniper
BAGOUR-R02J-MNF-EG,10.45.2.24,mx104,Juniper
MAMORH-R01C-ALX-EG,10.45.2.246,7206VXR,Cisco
OMLZIN-R01J-SHR-EG,10.45.2.28,mx104,Juniper
KFHADRA-R01J-MNF-EG,10.45.2.3,mx104,Juniper
SOFEYA-R01J-SHR-EG,10.45.2.34,mx104,Juniper
GMMALIA-R02J-DK-EG,10.45.2.30,mx104,Juniper
ELYOH-R01J-SHR-EG,10.45.2.29,mx104,Juniper
KFRDMRA-R01J-DK-EG,10.45.2.31,mx104,Juniper
WARDAN-R01J-GZ-EG,10.45.2.35,mx104,Juniper
QUREIN-R01J-SHR-EG,10.45.2.33,mx104,Juniper
ZNKLUN-R01J-SHR-EG,10.45.2.36,mx104,Juniper
MSHTQD-R01J-SHR-EG,10.45.2.4,mx104,Juniper
TANAH-R02J-DK-EG,10.45.2.45,mx104,Juniper
MTHOFIN-R01J-KB-EG,10.45.2.5,mx104,Juniper
MENOUF-R02J-MNF-EG,10.45.2.49,mx104,Juniper
NEGEIR-R01J-DK-EG,10.45.2.50,mx104,Juniper
MOQATAA-R01J-DK-EG,10.45.2.47,mx104,Juniper
SEBTTAS-R01J-GH-EG,10.45.2.44,mx104,Juniper
KFRAGAR-R01J-DK-EG,10.45.2.46,mx104,Juniper
BALAMUN-R01J-DK-EG,10.45.2.48,mx104,Juniper
TALEEN-R01J-SHR-EG,10.45.2.52,mx104,Juniper
QNAYAT-R01J-SHR-EG,10.45.2.56,mx104,Juniper
ISMLIA-R07J-IS-EG,10.45.2.57,mx104,Juniper
ABASIA-R10J-C-EG,10.45.2.59,mx104,Juniper
MTKNAN-R01J-KB-EG,10.45.2.6,mx104,Juniper
TANTA1-R04J-GH-EG,10.45.2.61,mx104,Juniper
MNSREST-R11J-DK-EG,10.45.2.55,mx104,Juniper
GIZA-R13J-GZ-EG,10.45.2.54,mx104,Juniper
MAADI2-R02J-C-EG,10.45.2.58,mx104,Juniper
SHROUK2-R02J-C-EG,10.45.2.65,mx104,Juniper
MINYA-R05J-MN-EG,10.45.2.64,mx104,Juniper
DIRMWAS-R01J-MN-EG,10.45.2.71,mx104,Juniper
SAMARAH-R01J-DK-EG,10.45.2.70,mx104,Juniper
SHGWST-R30J-SHG-EG,10.45.2.72,MX480,Juniper
DESOUQ-R02J-KFS-EG,10.45.2.75,mx104,Juniper
OPERA-R04J-C-EG,10.45.2.77,mx104,Juniper
LUXOR2-R06J-LX-EG,10.45.2.60,mx104,Juniper
SEFITA-R01J-SHR-EG,10.45.2.63,mx104,Juniper
RAHEB-R01J-MNF-EG,10.45.2.7,mx104,Juniper
SHBRKHM3-R01J-C-EG,10.45.2.76,mx104,Juniper
BSILIA-R01J-ASN-EG,10.45.2.85,mx104,Juniper
RODA-R02J-DT-EG,10.45.2.84,mx104,Juniper
BNIHSN-R01J-AST-EG,10.45.2.86,mx104,Juniper
DMIETGD-R02J-DT-EG,10.45.2.87,mx104,Juniper
RAASEDR-R01J-JS-EG,10.45.2.88,mx104,Juniper
SHBRBM-R01J-MNF-EG,10.45.2.9,mx104,Juniper
ZAMALEK-R02J-C-EG,10.45.2.80,mx104,Juniper
ASEIF-R01J-SHR-EG,10.45.2.8,mx104,Juniper
KMAMIR-R01J-ASN-EG,10.45.2.81,mx104,Juniper
FAWQBLY-R01J-KN-EG,10.45.2.82,mx104,Juniper
SHZAYED-R02J-IS-EG,10.45.2.83,mx104,Juniper
MWASAT-R01J-ASN-EG,10.45.2.92,mx104,Juniper
DMIETA2-R02J-DT-EG,10.45.2.93,mx104,Juniper
NWBA-R01J-SIN-EG,10.45.2.89,mx104,Juniper
MTGHALB-R01J-DT-EG,10.45.2.95,mx104,Juniper
KOBBA-R32C-C-EG,10.45.2.99,ASR9010,Cisco
OLILAH-R01J-DK-EG,10.45.2.96,mx104,Juniper
ESTANH-R01J-MNF-EG,10.45.2.94,mx104,Juniper
SHUBRHR-R01J-DK-EG,10.45.2.98,mx104,Juniper
MNQBAD-R01J-AST-EG,10.45.2.97,mx104,Juniper
MAADI1_1-R02J-C-EG,10.45.3.100,mx104,Juniper
ZAWYST-R01C-AST-EG,10.45.3.101,7206VXR,Cisco
QANATER-R02J-C-EG,10.45.3.102,mx104,Juniper
ATEIG-R02J-AST-EG,10.45.3.105,mx104,Juniper
ABNOUB-R02J-AST-EG,10.45.3.104,mx104,Juniper
EQUANT-R02J-C-EG,10.45.3.121,M7i,Juniper
REHAB-R03J-C-EG,10.45.3.11,mx104,Juniper
AGHURSG-R01J-C-EG,10.45.3.124,mx104,Juniper
BETKMT-R01J-ALX-EG,10.45.3.12,mx104,Juniper
MAADI2-R03C-C-EG,10.45.3.129,ASR1000,Cisco
ABOQIR-R03J-ALX-EG,10.45.3.13,mx104,Juniper
AUTO-R14C-ALX-EG,10.45.3.125,ASR1000,Cisco
MAADI2-R04C-C-EG,10.45.3.130,ASR1000,Cisco
BDRSHN-R01J-GZ-EG,10.45.3.132,mx104,Juniper
NASSER-R02J-SHG-EG,10.45.3.14,mx104,Juniper
TANTA3-R01C-GH-EG,10.45.3.147,ME360x_t,Cisco
MAADI1_1-R03C-C-EG,10.45.3.148,ME360x_t,Cisco
KRDAS-R01J-GZ-EG,10.45.3.149,mx104,Juniper
MRINA2-R01J-MT-EG,10.45.3.133,mx104,Juniper
AMTAMIR-R01J-BH-EG,10.45.3.145,mx104,Juniper
QNAWEST-R31A-KN-EG,10.45.3.141,SR7750,Alcatel
KFRSDBD-R01J-DT-EG,10.45.3.15,mx104,Juniper
RAMSIS-R21C-C-EG,10.45.3.146,ASR1002,Cisco
RAMSIS-R34C-C-EG,10.45.3.150,ASR9010,Cisco
RAMSIS-R36C-C-EG,10.45.3.152,CRS-16/S-B,Cisco
RAMSIS-R37C-C-EG,10.45.3.153,CRS-16/S-B,Cisco
KFRDWD-R01J-MNF-EG,10.45.3.159,mx104,Juniper
DEKHLA-R02J-ALX-EG,10.45.3.16,mx104,Juniper
QSRBSL-R01J-FYM-EG,10.45.3.155,M7i,Juniper
TALLA-R02J-MNF-EG,10.45.3.162,mx104,Juniper
SAADAT-R01J-SHR-EG,10.45.3.160,mx104,Juniper
REMALY-R02J-MNF-EG,10.45.3.164,mx104,Juniper
SHAQR-R01J-KB-EG,10.45.3.166,mx104,Juniper
MSKNZBL-R01J-C-EG,10.45.3.165,mx104,Juniper
BAHTIM-R02J-GZ-EG,10.45.3.167,mx104,Juniper
KFRTESF-R01J-KB-EG,10.45.3.17,mx104,Juniper
MAFALSA-R01J-ASN-EG,10.45.3.172,M7i,Juniper
BETDAD-R01J-SHG-EG,10.45.3.170,mx104,Juniper
SDARHMN-R01J-MT-EG,10.45.3.173,mx104,Juniper
ALMAZA-R08C-C-EG,10.45.3.177,ASR1000,Cisco
ABAWAN-R01J-MN-EG,10.45.3.168,mx104,Juniper
SEDOD-R01J-MNF-EG,10.45.3.163,mx104,Juniper
MARIS-R01J-LX-EG,10.45.3.169,mx104,Juniper
MAADI2-R09C-C-EG,10.45.3.181,ASR1000,Cisco
QMBSHM-R01J-BNS-EG,10.45.3.19,mx104,Juniper
KOBBA-R03C-C-EG,10.45.3.185,ASR1000,Cisco
